roi,id,edge0,x0,y0,t0,edge1,x1,y1,t1,number_warning,broken_track
ROI_1,0,Left,22.0,66.0,0.42,Right,2.0,48.0,0.48,0,0
ROI_0,1,Right,22.0,2.0,1.2,Right,46.0,1.0,1.28,0,0
ROI_0,2,Right,43.0,2.0,1.59,Base,79.0,50.0,2.06,0,0
ROI_1,1,Right,2.0,25.0,2.11,Base,79.0,30.0,2.16,0,0
ROI_3,0,Left,2.0,50.0,2.18,Base,82.0,54.0,2.34,0,0
ROI_5,0,Left,3.0,54.0,2.37,Base,77.0,52.0,2.4,0,0
ROI_7,0,Right,2.0,26.0,2.44,Left,41.0,66.0,2.51,0,0
ROI_1,2,Left,22.0,66.0,3.14,Right,2.0,50.0,3.2,0,0
ROI_7,1,Left,45.0,63.0,3.2,Base,80.0,28.0,3.24,0,0
ROI_1,3,Left,23.0,66.0,3.35,Right,2.0,51.0,3.48,0,0
ROI_0,4,Right,23.0,8.0,3.45,Right,22.0,2.0,3.5,0,0
ROI_0,5,Right,25.0,2.0,3.52,Right,50.0,1.0,3.57,0,0
ROI_0,6,Right,54.0,2.0,3.59,Base,79.0,52.0,4.38,0,0
ROI_0,9,Right,58.0,10.0,4.25,Base,80.0,34.0,4.31,0,0
ROI_1,4,Right,2.0,19.0,4.42,Base,79.0,24.0,4.46,0,0
ROI_1,5,Right,2.0,43.0,4.43,Right,2.0,46.0,5.0,0,0
ROI_0,11,Right,59.0,10.0,4.44,Base,80.0,34.0,4.56,0,0
ROI_3,1,Left,3.0,52.0,4.51,Base,82.0,53.0,4.57,0,0
ROI_7,2,Base,75.0,25.0,4.57,Right,2.0,31.0,5.04,0,0
ROI_5,1,Left,3.0,47.0,4.59,Base,78.0,51.0,5.03,0,0
ROI_5,2,Base,74.0,48.0,5.06,Base,77.0,51.0,5.17,0,0
ROI_0,12,Base,76.0,31.0,5.1,Right,55.0,2.0,5.22,0,0
ROI_7,3,Right,2.0,29.0,5.1,Left,42.0,65.0,5.15,0,0
ROI_7,4,Right,2.0,29.0,5.2,Left,41.0,65.0,5.23,0,0
ROI_0,13,Base,62.0,30.0,5.35,Base,79.0,50.0,5.42,0,1
ROI_7,5,Left,43.0,62.0,5.37,Right,2.0,20.0,5.42,0,0
ROI_5,3,Base,75.0,56.0,5.44,Left,2.0,50.0,5.47,0,0
ROI_1,6,Right,2.0,23.0,5.45,Base,79.0,26.0,5.49,0,0
ROI_3,2,Base,78.0,51.0,5.48,Left,2.0,50.0,5.53,0,0
ROI_0,15,Right,22.0,2.0,5.5,Right,56.0,1.0,6.07,0,0
ROI_3,3,Left,2.0,56.0,5.51,Right,40.0,2.0,5.56,0,0
ROI_1,7,Base,76.0,29.0,5.55,Right,2.0,24.0,5.58,0,0
ROI_30,0,Base,50.0,82.0,5.59,Right,54.0,2.0,6.03,0,0
ROI_0,16,Base,75.0,48.0,6.01,Left,2.0,58.0,6.05,0,0
ROI_32,0,Base,22.0,86.0,6.05,Left,18.0,2.0,6.08,0,0
ROI_2,0,Base,76.0,54.0,6.07,Left,1.0,58.0,6.1,0,0
ROI_2,1,Left,3.0,55.0,6.17,Base,80.0,52.0,6.19,0,0
ROI_0,18,Left,2.0,46.0,6.21,Right,58.0,22.0,6.34,0,1
ROI_1,8,Left,23.0,65.0,6.27,Right,2.0,48.0,6.34,0,0
ROI_0,20,Right,58.0,10.0,6.3,Base,79.0,28.0,6.36,0,0
ROI_0,23,Right,62.0,10.0,6.47,Base,80.0,33.0,6.54,0,0
ROI_1,9,Right,4.0,52.0,6.56,Left,20.0,68.0,6.59,0,0
ROI_0,24,Base,78.0,31.0,7.03,Base,80.0,51.0,7.23,0,0
ROI_1,10,Left,20.0,66.0,7.04,Right,6.0,52.0,7.1,0,0
ROI_1,11,Right,2.0,43.0,7.09,Left,20.0,68.0,7.15,0,0
ROI_1,13,Right,3.0,24.0,7.28,Base,80.0,21.0,7.32,0,0
ROI_3,4,Left,2.0,46.0,7.36,Base,82.0,49.0,7.42,0,0
ROI_0,26,Right,55.0,11.0,7.46,Right,60.0,2.0,7.49,0,0
ROI_5,4,Left,3.0,40.0,7.46,Base,78.0,40.0,7.51,0,0
ROI_32,1,Left,17.0,3.0,7.52,Base,20.0,89.0,7.56,0,0
ROI_0,27,Right,58.0,2.0,7.53,Right,56.0,1.0,8.03,0,0
ROI_7,6,Left,41.0,62.0,7.55,Right,3.0,28.0,8.04,0,0
ROI_7,7,Right,2.0,25.0,7.55,Left,42.0,65.0,7.59,0,0
ROI_32,2,Base,19.0,86.0,8.01,Right,72.0,42.0,8.03,0,0
ROI_0,28,Right,41.0,2.0,8.06,Base,79.0,52.0,8.16,0,0
ROI_5,5,Base,74.0,43.0,8.06,Left,2.0,48.0,8.09,0,0
ROI_3,5,Base,77.0,50.0,8.11,Left,2.0,46.0,8.15,0,0
ROI_7,8,Left,41.0,62.0,8.16,Right,2.0,22.0,8.28,0,0
ROI_1,14,Base,76.0,27.0,8.17,Base,80.0,26.0,8.26,0,0
ROI_1,15,Right,3.0,23.0,8.21,Right,2.0,24.0,8.24,0,0
ROI_3,6,Left,2.0,42.0,8.31,Left,17.0,56.0,8.41,0,0
ROI_5,6,Base,74.0,48.0,8.31,Left,1.0,58.0,8.36,0,0
ROI_3,7,Base,78.0,46.0,8.38,Left,2.0,44.0,8.54,0,0
ROI_3,9,Left,20.0,51.0,8.44,Left,2.0,46.0,8.47,0,1
ROI_1,16,Base,76.0,25.0,8.51,Right,2.0,22.0,8.54,0,0
ROI_0,31,Base,76.0,50.0,8.56,Right,43.0,1.0,9.07,0,0
ROI_0,32,Base,72.0,22.0,8.57,Base,79.0,34.0,9.0,0,0
ROI_1,17,Base,76.0,29.0,8.57,Right,2.0,52.0,9.07,0,0
ROI_1,18,Left,29.0,63.0,9.06,Right,2.0,30.0,9.1,0,0
ROI_0,33,Base,76.0,48.0,9.12,Left,2.0,54.0,9.15,0,0
ROI_1,19,Right,3.0,52.0,9.14,Left,24.0,68.0,9.17,0,0
ROI_0,34,Right,43.0,1.0,9.18,Base,80.0,44.0,9.23,0,0
ROI_32,4,Right,68.0,39.0,9.19,Left,22.0,3.0,9.23,0,0
ROI_2,2,Base,76.0,52.0,9.2,Left,2.0,56.0,9.23,0,0
ROI_1,21,Right,2.0,19.0,9.25,Base,80.0,25.0,9.29,0,0
ROI_2,3,Left,4.0,45.0,9.28,Right,34.0,2.0,9.31,0,0
ROI_3,10,Left,2.0,47.0,9.32,Left,2.0,65.0,9.37,0,0
ROI_20,0,Base,16.0,81.0,9.33,Base,22.0,84.0,9.39,0,0
ROI_32,5,Left,16.0,4.0,9.39,Base,19.0,88.0,9.42,0,0
ROI_1,22,Base,76.0,39.0,9.4,Left,38.0,66.0,9.42,0,0
ROI_2,4,Right,36.0,3.0,9.41,Base,80.0,50.0,9.43,0,0
ROI_30,2,Right,52.0,3.0,9.43,Left,2.0,36.0,9.46,0,0
ROI_1,23,Left,22.0,65.0,9.44,Right,2.0,44.0,9.56,0,0
ROI_1,24,Left,29.0,60.0,9.45,Right,2.0,30.0,9.49,0,0
ROI_31,0,Base,80.0,18.0,9.47,Right,1.0,16.0,9.49,0,0
ROI_1,0,Right,2.0,25.0,10.01,Base,80.0,18.0,10.08,0,0
ROI_0,3,Right,54.0,11.0,10.11,Base,78.0,36.0,10.16,0,0
ROI_3,0,Left,2.0,57.0,10.14,Left,2.0,44.0,10.22,0,0
ROI_0,4,Base,78.0,32.0,10.19,Base,76.0,23.0,10.22,0,0
ROI_1,1,Right,3.0,23.0,10.19,Base,80.0,24.0,10.23,0,0
ROI_0,5,Right,60.0,12.0,10.2,Base,80.0,27.0,10.26,0,0
ROI_1,2,Left,23.0,66.0,10.23,Right,2.0,52.0,10.3,0,0
ROI_1,3,Base,76.0,23.0,10.26,Right,2.0,22.0,10.3,0,0
ROI_3,1,Left,3.0,53.0,10.27,Base,81.0,52.0,10.32,0,0
ROI_0,7,Right,55.0,16.0,10.3,Base,80.0,50.0,10.58,0,1
ROI_0,8,Base,76.0,46.0,10.33,Right,42.0,2.0,10.49,0,0
ROI_1,5,Left,22.0,65.0,10.36,Left,20.0,68.0,10.47,0,0
ROI_3,2,Base,78.0,60.0,10.36,Left,2.0,44.0,10.4,0,0
ROI_1,6,Base,75.0,24.0,10.44,Base,79.0,20.0,10.47,0,0
ROI_0,9,Base,78.0,30.0,10.46,Right,57.0,8.0,11.01,0,0
ROI_31,0,Right,2.0,16.0,10.49,Left,36.0,58.0,10.51,0,0
ROI_3,3,Left,3.0,60.0,10.5,Left,20.0,68.0,10.51,0,1
ROI_0,11,Right,46.0,1.0,10.52,Right,64.0,16.0,11.39,0,1
ROI_3,4,Left,28.0,66.0,10.55,Base,48.0,67.0,10.59,0,1
ROI_0,12,Base,78.0,32.0,10.56,Right,64.0,15.0,11.02,0,1
ROI_31,1,Left,44.0,56.0,11.0,Base,83.0,19.0,11.03,0,0
ROI_0,13,Right,54.0,15.0,11.01,Base,80.0,42.0,11.1,1,0
ROI_1,7,Right,3.0,23.0,11.01,Base,80.0,30.0,11.06,0,0
ROI_0,14,Right,60.0,12.0,11.04,Base,80.0,49.0,11.22,1,0
ROI_30,0,Left,2.0,39.0,11.04,Base,54.0,85.0,11.06,0,0
ROI_0,15,Base,59.0,37.0,11.07,Base,80.0,50.0,11.12,1,1
ROI_3,5,Right,37.0,4.0,11.07,Left,3.0,49.0,11.11,0,0
ROI_3,6,Left,2.0,47.0,11.09,Base,81.0,53.0,11.34,0,0
ROI_1,8,Base,76.0,27.0,11.11,Base,80.0,22.0,11.2,1,0
ROI_3,7,Base,46.0,66.0,11.11,Left,2.0,66.0,11.14,0,1
ROI_1,9,Left,23.0,61.0,11.12,Right,2.0,52.0,11.24,1,0
ROI_1,10,Right,2.0,15.0,11.15,Base,79.0,12.0,11.2,1,0
ROI_1,11,Right,3.0,35.0,11.16,Right,32.0,28.0,11.17,1,1
ROI_3,8,Left,4.0,54.0,11.21,Base,48.0,50.0,11.26,1,1
ROI_3,9,Left,4.0,40.0,11.22,Right,40.0,2.0,11.25,1,0
ROI_3,10,Left,4.0,52.0,11.23,Left,28.0,52.0,11.24,1,1
ROI_1,14,Right,1.0,10.0,11.25,Right,2.0,22.0,11.36,1,0
ROI_10,0,Base,78.0,18.0,11.26,Right,2.0,18.0,11.3,0,0
ROI_3,11,Base,46.0,37.0,11.27,Left,2.0,53.0,11.3,1,1
ROI_30,1,Base,50.0,82.0,11.27,Right,52.0,3.0,11.29,0,0
ROI_1,15,Left,22.0,64.0,11.31,Right,1.0,51.0,11.37,1,0
ROI_32,0,Base,20.0,86.0,11.31,Left,20.0,3.0,11.33,0,0
ROI_3,13,Right,43.0,7.0,11.32,Right,38.0,2.0,11.34,1,0
ROI_12,0,Base,74.0,13.0,11.33,Left,37.0,60.0,11.38,0,0
ROI_3,14,Left,4.0,53.0,11.33,Base,81.0,53.0,11.44,1,0
ROI_3,15,Right,29.0,3.0,11.36,Base,82.0,46.0,11.38,1,0
ROI_5,1,Left,3.0,45.0,11.36,Base,78.0,51.0,11.39,0,0
ROI_0,17,Base,76.0,48.0,11.4,Base,80.0,48.0,12.0,1,0
ROI_5,2,Left,2.0,45.0,11.41,Base,77.0,48.0,11.43,0,0
ROI_7,0,Right,3.0,24.0,11.41,Base,80.0,20.0,11.47,0,0
ROI_12,2,Left,29.0,38.0,11.45,Right,2.0,24.0,11.47,0,1
ROI_7,1,Right,4.0,25.0,11.45,Base,80.0,16.0,11.5,0,0
ROI_5,3,Left,2.0,51.0,11.46,Base,77.0,52.0,11.51,0,0
ROI_122,0,Base,72.0,55.0,11.51,Right,30.0,1.0,11.59,0,0
ROI_0,19,Base,78.0,32.0,11.54,Base,79.0,50.0,12.14,1,0
ROI_7,2,Right,3.0,31.0,11.54,Left,42.0,66.0,11.59,0,0
ROI_1,18,Right,3.0,21.0,12.01,Base,79.0,26.0,12.07,1,0
ROI_1,20,Right,3.0,20.0,12.02,Right,31.0,29.0,12.04,1,1
ROI_3,16,Left,3.0,48.0,12.08,Base,82.0,55.0,12.13,1,0
ROI_3,17,Left,4.0,52.0,12.08,Base,81.0,56.0,12.21,1,0
ROI_3,19,Left,35.0,51.0,12.13,Base,82.0,52.0,12.16,1,1
ROI_5,4,Left,2.0,45.0,12.16,Base,77.0,52.0,12.19,0,0
ROI_1,23,Right,2.0,18.0,12.18,Base,80.0,26.0,12.24,1,0
ROI_3,20,Base,80.0,39.0,12.18,Right,39.0,2.0,12.22,1,0
ROI_1,24,Left,22.0,65.0,12.2,Left,23.0,67.0,12.22,1,0
ROI_7,3,Right,3.0,29.0,12.21,Left,42.0,66.0,12.3,0,0
ROI_5,5,Left,3.0,51.0,12.24,Base,77.0,50.0,12.27,0,0
ROI_3,21,Right,50.0,4.0,12.25,Base,81.0,44.0,12.27,1,0
ROI_3,22,Left,3.0,53.0,12.27,Base,81.0,50.0,12.39,1,0
ROI_7,4,Right,3.0,25.0,12.28,Left,39.0,66.0,12.33,0,0
