roi,id,edge0,x0,y0,t0,edge1,x1,y1,t1,number_warning,broken_track
ROI_11,0,Left,59.0,72.0,0.29,Left,61.0,2.0,0.34,0,1
ROI_1,0,Left,6.0,64.0,0.5,Left,2.0,61.0,0.51,0,1
ROI_0,2,Right,27.0,1.0,1.26,Base,75.0,56.0,1.34,0,0
ROI_1,1,Right,3.0,32.0,1.36,Left,38.0,65.0,1.41,0,0
ROI_1,2,Left,41.0,63.0,1.44,Right,3.0,19.0,1.49,0,0
ROI_0,3,Base,71.0,39.0,1.51,Right,36.0,2.0,2.01,0,0
ROI_0,4,Right,31.0,2.0,2.08,Left,2.0,50.0,2.12,0,0
ROI_2,0,Base,72.0,50.0,2.14,Base,75.0,56.0,2.21,0,0
ROI_0,5,Left,4.0,50.0,2.22,Base,74.0,52.0,2.24,0,0
ROI_1,3,Right,4.0,31.0,2.26,Left,33.0,65.0,2.28,0,0
ROI_10,0,Base,71.0,20.0,2.3,Left,28.0,55.0,2.34,0,0
ROI_10,1,Left,36.0,52.0,2.38,Base,73.0,24.0,2.4,0,0
ROI_1,4,Left,39.0,62.0,2.42,Right,3.0,18.0,2.45,0,0
ROI_0,8,Right,28.0,2.0,3.06,Left,2.0,46.0,3.09,0,0
ROI_2,1,Base,72.0,46.0,3.11,Right,33.0,2.0,3.13,0,0
ROI_20,0,Base,25.0,76.0,3.15,Left,18.0,2.0,3.23,0,0
ROI_21,0,Base,46.0,81.0,3.24,Left,2.0,38.0,3.28,0,0
ROI_211,0,Base,74.0,54.0,3.29,Left,2.0,58.0,3.33,0,0
ROI_211,1,Left,3.0,52.0,3.4,Base,77.0,52.0,3.42,0,0
ROI_21,1,Left,3.0,37.0,3.44,Base,44.0,82.0,3.46,0,0
ROI_20,1,Left,10.0,4.0,3.49,Base,12.0,79.0,3.51,0,0
ROI_2,2,Right,25.0,3.0,3.52,Right,24.0,10.0,3.53,0,0
ROI_2,3,Right,26.0,22.0,3.55,Left,2.0,40.0,3.59,0,1
ROI_4,0,Base,71.0,8.0,4.02,Left,30.0,66.0,4.05,0,0
ROI_40,0,Base,18.0,2.0,4.08,Base,8.0,2.0,4.11,0,0
ROI_4,1,Left,20.0,62.0,4.23,Base,73.0,22.0,4.26,0,0
ROI_2,4,Left,2.0,58.0,4.28,Base,75.0,56.0,4.3,0,0
ROI_0,9,Left,4.0,58.0,4.32,Base,75.0,56.0,4.34,0,0
ROI_1,5,Right,3.0,33.0,4.35,Left,34.0,66.0,4.38,0,0
ROI_10,2,Base,70.0,12.0,4.41,Base,73.0,10.0,4.46,0,0
ROI_1,6,Left,29.0,61.0,4.48,Base,75.0,16.0,4.53,0,0
ROI_3,0,Left,4.0,45.0,4.55,Right,37.0,2.0,4.58,0,0
ROI_3,1,Right,45.0,4.0,5.02,Base,77.0,47.0,5.04,0,0
ROI_5,0,Left,3.0,45.0,5.05,Base,75.0,44.0,5.1,0,0
ROI_7,0,Right,3.0,31.0,5.14,Right,2.0,36.0,5.16,0,0
ROI_5,1,Base,72.0,57.0,5.17,Left,2.0,56.0,5.19,0,0
ROI_3,2,Base,74.0,60.0,5.2,Left,3.0,60.0,5.22,0,0
ROI_1,7,Base,72.0,39.0,5.23,Left,40.0,65.0,5.27,0,0
ROI_1,8,Left,25.0,62.0,5.31,Right,2.0,37.0,5.33,0,0
ROI_0,13,Right,30.0,27.0,8.08,Base,75.0,46.0,8.16,0,1
ROI_0,14,Base,72.0,35.0,8.18,Right,36.0,2.0,8.22,0,0
ROI_0,15,Right,22.0,3.0,8.28,Right,29.0,20.0,8.31,0,1
ROI_0,16,Right,29.0,28.0,8.32,Left,3.0,33.0,8.34,0,1
ROI_2,5,Base,73.0,40.0,8.35,Right,36.0,2.0,8.4,0,0
ROI_20,2,Base,23.0,76.0,8.42,Right,66.0,38.0,8.44,0,0
