Colony,Date,Experiment Day,Time,Nest,"Number of ants (none=0, few=5 or fewer, many >5)",Brood (y/n),Queen (y/n),Notes
21-SP3,6/30/21,0,17:00,72,few,n,,
21-SP3,,,17:00,1112,few,n,,
21-SP3,,,17:00,1221,few,n, ,
21-SP3,,,17:00,412,none,n,,
21-SP3,,,17:00,82,none,n,,
21-SP3,,,17:00,2111,few,n,,
21-SP3,,,17:00,2212,none,n,,
21-SP3,,,17:00,321,none,n,,
21-SP3,6/30/21,0,17:24,72,many,n,,
21-SP3,,,17:24,1112,few,n,,
21-SP3,,,17:24,1221,many,n,,
21-SP3,,,17:24,412,none,n,,
21-SP3,,,17:24,82,none,n,,
21-SP3,,,17:24,2111,few,n,,
21-SP3,,,17:24,2212,none,n,,
21-SP3,,,17:24,321,few,n,,
21-SP3,6/30/21,0,21:00,72,few,n,,
21-SP3,,,21:00,1112,none,n,,
21-SP3,,,21:00,1221,few,n,,
21-SP3,,,21:00,412,none,n,,
21-SP3,,,21:00,82,few,n,,
21-SP3,,,21:00,2111,few,n,,
21-SP3,,,21:00,2212,none,n,,
21-SP3,,,21:00,321,none,n,,
21-SP3,6/30/21,0,21:20,72,few,n,,
21-SP3,,,21:20,1112,none,n,,
21-SP3,,,21:20,1221,few,n,,
21-SP3,,,21:20,412,few,n,,
21-SP3,,,21:20,82,few,n,,
21-SP3,,,21:20,2111,few,n,,
21-SP3,,,21:20,2212,none,n,,
21-SP3,,,21:20,321,none,n,,
21-SP3,7/1/21,1,15:00,72,many,n,,
21-SP3,,,15:00,1112,none,n,,
21-SP3,,,15:00,1221,many,n,,
21-SP3,,,15:00,412,none,n,,
21-SP3,,,15:00,82,few,n,,
21-SP3,,,15:00,2111,none,n,,
21-SP3,,,15:00,2212,none,n,,
21-SP3,,,15:00,321,few,n,,
21-SP3,7/1/21,1,15:20,72,many,n,,
21-SP3,,,15:20,1112,none,n,,
21-SP3,,,15:20,1221,many,n,,
21-SP3,,,15:20,412,none,n,,
21-SP3,,,15:20,82,few,n,,
21-SP3,,,15:20,2111,none,n,,
