Colony Name,Date,When,Nest,Workers,Soldiers,Brood,Queen,Winged Queens,Males,Notes,,,,,
21-SP3,6/22/21,pre-ind,O1,45,3,y,0,1,0,by sugar and water,,,,,
21-SP3,6/22/21,pre-ind,O2,23,0,y,0,1,0,central,,,,,
21-SP3,6/22/21,pre-ind,twig,3,0,n,1,0,0,cracked twig very carefully and placed queen in nest 2 but she came out again the next day,,,,,
21-SP3,6/22/21,pre-ind,outside,16,0,n,0,0,0,,,,,,
21-MW3,6/28/21,pre-ind,O1,54,2,y,1,0,0,one soldier fairly small,,,,,
21-MW3,6/28/21,pre-ind,outside,12,0,n,0,0,0,very active!,,,,,
21-SP3,7/4/21,post,72,21,0,y,0,1,0,one tagged worker was outside,,,,,
21-SP3,7/4/21,post,1112,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,1221,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,412,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,82,1,0,n,0,0,0,worker was outside,,,,,
21-SP3,7/4/21,post,2111,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,2212,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,321,0,0,n,0,0,0,,,,,,
21-SP3,7/4/21,post,O1,68,3,y,1,0,0,must be one of the winged queens that lost her wings,,,,,
21-SP3,7/4/21,post,O2,15,2,y,0,0,0,,,,,,
21-SP3,7/4/21,post,box,2,0,n,1,0,0,,,,,,
21-SP3,7/4/21,post,arena,4,0,n,0,0,0,,,,,,
21-MW3,7/6/21,pre-col,O1,76,2,y,1,0,0,,,,,,
21-MW3,7/6/21,pre-col,outside,6,0,n,0,0,0,3 tagged,,,,,
21-BA2,7/6/21,pre-ind,O1,66,1,y,1,0,0,,,,,,
21-BA2,7/6/21,pre-ind,outside,7,0,n,0,0,0,,,,,,
21-MW3,7/10/21,post,box,1,0,n,0,0,0,injured? one dead,,,,,
21-MW3,7/10/21,post,O1,51,3,y,1,0,0,2 tagged,,,,,
21-MW3,7/10/21,post,72,36,0,n,0,0,0,4 tagged,,,,,
21-MW3,7/10/21,post,321,1,0,n,0,0,0,tagged,,,,,
21-MW3,7/10/21,post,82,2,0,n,0,0,0,both tagged,,,,,
21-MW3,7/10/21,post,arena,0,0,n,0,0,0,2 dead tagged,,,,,
21-BA2,7/12/21,pre-col,outside,10,0,n,0,0,0,"3 tagged (5A,6B,7B)",,,,,
21-BA2,7/12/21,pre-col,O1,50,2,y,1,0,0,at least 6 tagged (2A may be injured),290272896,290273229,290272628,290273044,290272453
21-SP2,7/12/21,pre-ind,O1,50,1,y,0,0,0,,,,,,
21-SP2,7/12/21,pre-ind,O2,49,3,y,1,0,0,,,,,,
21-SP2,7/12/21,pre-ind,outside,72,1,n,0,0,0,"13 workers, 2 soldiers dead",,,,,
21-SP2,7/12/21,pre-ind,twigs,10,0,n,1,0,0,coaxed queen out and let her crawl inside O1,,,,,
21-BA2,7/16/21,post,box,1,0,n,0,0,0,"3 dead, 1 of which was tagged",290272628,,,,
21-BA2,7/16/21,post,arena,3,0,n,0,0,0,"3 dead (of which two are tagged), 2 live tagged",,,,,
21-BA2,7/16/21,post,O1,2,0,n,0,0,0,"1 tagged, 1 young",290272627,,,,
21-BA2,7/16/21,post,82,9,0,n,0,0,0,2 tagged,,,,,
21-BA2,7/16/21,post,72,78,2,y,1,0,0,3 tagged,,,,,
21-SP2,7/19/21,pre-col,O2,48,3,y,1,0,0,,,,,,
21-SP2,7/19/21,pre-col,O1,56,3,y,0,0,0,,,,,,
21-SP2,7/19/21,pre-col,outside,78,1,n,1,0,0,"queen at base of nest, 9 tagged, 10 dead (none tagged), one lost tag",,,,,
21-SP2,7/23/21,post,box,12,0,n,1,0,0,"2 dead, 2 tagged",,,,,
21-SP2,7/23/21,post,O1,49,1,y,0,0,0,,,,,,
21-SP2,7/23/21,post,O2,44,4,y,0,0,0,,,,,,
21-SP2,7/23/21,post,82,51,2,y,0,0,0,,,,,,
21-SP2,7/23/21,post,arena,35,0,n,0,0,0,"4 tagged, 1 dead",,,,,
21-SP2,7/23/21,post,1221,8,1,n,0,0,0,,,,,,
21-SP2,7/23/21,post,321,7,0,n,0,0,0,,,,,,
21-SP2,7/23/21,post,2212,1,0,n,0,0,0,,,,,,
21-SP2,7/23/21,post,72,16,1,n,0,0,0,,,,,,
