Tip,Type,Location,Distance from Trunk
1111,tag,C0,7
1112,nest,C1,7
1121,water,C2,7
1122,sugar,C3,7
1211,water,D0,7
1212,sugar,D1,7
1221,nest,D2,7
1222,tag,D3,7
2111,tag,G0,9
2112,nest,G1,9
2121,water,G2,9
2122,sugar,G3,9
2211,tag,H0,9
2212,nest,H1,9
2221,water,H2,9
2222,sugar,H3,9
311,water,A0,5
312,sugar,A1,5
321,nest,A2,5
322,tag,A3,5
411,empty,E0,9
412,nest,E1,9
421,water,E2,9
422,sugar,E3,9
51,water,B0,3
52,sugar,B1,3
61,water,F2,9
62,sugar,F3,9
71,trunk,B2,0
72,nest,B3,1
81,tag,F0,9
82,nest,F1,9
