"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"1","6/21/21","21-SP3","1A","1","A","16:01","0",NA,"2",NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"2","6/21/21","21-SP3","1A","1","A",NA,"0","2","1",NA,FALSE,0,"2","1","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"3","6/21/21","21-SP3","1A","1","A",NA,"0","1",NA,NA,FALSE,0,"1","-1","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"4","6/21/21","21-SP3","1A","1","A",NA,"0",NA,NA,NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"5","6/21/21","21-SP3","1A","1","A",NA,"2",NA,NA,NA,FALSE,0,"0","20","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"6","6/21/21","21-SP3","1A","1","A",NA,"20",NA,NA,NA,FALSE,0,"2","2","main",0.45,"wide","main",0.45,"wide","U",NA,NA
"7","6/21/21","21-SP3","1A","1","A",NA,"2",NA,NA,NA,FALSE,0,"20","0","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"8","6/21/21","21-SP3","1A","1","A",NA,"0",NA,NA,NA,FALSE,0,"2","1","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"9","6/21/21","21-SP3","1A","1","A",NA,"1",NA,NA,NA,FALSE,0,"0","3","right",0.6,"wide","main",0.6,"wide","L","W","to.trunk"
"10","6/21/21","21-SP3","1A","1","A",NA,"3",NA,NA,NA,FALSE,0,"1","1","left",0.6,"wide","left",0.6,"wide","U",NA,NA
"11","6/21/21","21-SP3","1A","1","A",NA,"1",NA,NA,NA,FALSE,0,"3","10","main",0.6,"wide","left",0.45,"narrow","L","N","away.from.trunk"
"12","6/21/21","21-SP3","1A","1","A",NA,"10",NA,NA,NA,FALSE,0,"1","1","main",0.45,"wide","main",0.45,"wide","U",NA,NA
"13","6/21/21","21-SP3","1A","1","A",NA,"1",NA,NA,NA,FALSE,0,"10","3","left",0.45,"narrow","main",0.6,"wide","R","=","to.trunk"
"14","6/21/21","21-SP3","1A","1","A",NA,"3",NA,NA,NA,FALSE,0,"1","5","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"15","6/21/21","21-SP3","1A","1","A",NA,"5",NA,NA,NA,FALSE,0,"3","7","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"16","6/21/21","21-SP3","1A","1","A",NA,"7",NA,NA,NA,FALSE,0,"5","72","right",0.6,"wide","left",0.45,"narrow","R","N","away.from.trunk"
"17","6/21/21","21-SP3","1A","1","A",NA,"7",NA,NA,NA,FALSE,1,"72","5","left",0.45,"narrow","right",0.6,"wide","L","=","away.from.trunk"
"18","6/21/21","21-SP3","1A","1","A",NA,"5",NA,NA,NA,FALSE,1,"7","50","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"19","6/21/21","21-SP3","1A","1","A",NA,"50",NA,NA,NA,FALSE,1,"5","51","main",0.45,"wide","left",0.45,"wide","L","W","away.from.trunk"
"20","6/21/21","21-SP3","1A","1","A",NA,"50",NA,NA,NA,FALSE,1,"51","5","left",0.45,"wide","main",0.45,"wide","R","W","to.trunk"
"21","6/21/21","21-SP3","1A","1","A",NA,"5",NA,NA,NA,FALSE,1,"50","3","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"22","6/21/21","21-SP3","1A","1","A",NA,"3",NA,NA,NA,FALSE,1,"5","30","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"23","6/21/21","21-SP3","1A","1","A",NA,"30",NA,NA,NA,FALSE,1,"3","32","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"24","6/21/21","21-SP3","1A","1","A",NA,"32",NA,NA,NA,FALSE,1,"30","321","main",0.34,"wide","left",0.34,"wide","L","W","away.from.trunk"
"25","6/21/21","21-SP3","1A","1","A",NA,"32",NA,NA,NA,FALSE,1,"321","322","left",0.34,"wide","right",0.25,"narrow","L","N","away.from.trunk"
"26","6/21/21","21-SP3","1A","1","A",NA,"32",NA,NA,NA,FALSE,1,"322","30","right",0.25,"narrow","main",0.34,"wide","L","=","to.trunk"
"27","6/21/21","21-SP3","1A","1","A",NA,"30",NA,NA,NA,FALSE,1,"32","3","right",0.45,"wide","main",0.45,"wide","L","W","to.trunk"
"28","6/21/21","21-SP3","1A","1","A",NA,"3",NA,NA,NA,FALSE,1,"30","1","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"29","6/21/21","21-SP3","1A","1","A",NA,"1",NA,NA,NA,FALSE,1,"3","0","main",0.6,"wide","right",0.6,"wide","R","W","away.from.trunk"
"30","6/21/21","21-SP3","1A","1","A",NA,"0",NA,NA,NA,FALSE,1,"1","-1","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"31","6/21/21","21-SP3","1B","1","B","16:16","0",NA,NA,NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"32","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"0","0","main",0.6,"wide","main",0.6,"wide","U",NA,NA
"33","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,0,"2","2","left",0.6,"wide","left",0.6,"wide","U",NA,NA
"34","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"0","20","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"35","6/21/21","21-SP3","1B","1","B",NA,"20",NA,NA,NA,FALSE,0,"2","2","main",0.45,"wide","main",0.45,"wide","U",NA,NA
"36","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"20","4","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"37","6/21/21","21-SP3","1B","1","B",NA,"4",NA,NA,NA,FALSE,0,"2","40","main",0.6,"wide","left",0.45,"narrow","L","N","away.from.trunk"
"38","6/21/21","21-SP3","1B","1","B",NA,"40",NA,NA,NA,FALSE,0,"4","4","main",0.45,"wide","main",0.45,"wide","U",NA,NA
"39","6/21/21","21-SP3","1B","1","B",NA,"4",NA,NA,NA,FALSE,0,"40","2","left",0.45,"narrow","main",0.6,"wide","R","=","to.trunk"
"40","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"4","0","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
