"Junction","Direction.From","Width.From","Node.From","Rel.Width.From","Direction.To","Width.To","Node.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk","Junction.Handedness","Turn.Angle","isUTurn","isSharpTurn","sharpIsLeft","Angle.From","Sharp.Turn.Prob","U.Turn.Prob","Turn.Probability"
"0","main",0.6,"1","wide","main",0.6,"1","wide","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"main",0.546816897212879,0.247988620209972,0.247988620209972
"0","main",0.6,"1","wide","left",0.6,"2","wide","L","W","away.from.trunk","RH","shallow",FALSE,FALSE,FALSE,"main",0.546816897212879,0.247988620209972,0.340798850424469
"0","main",0.6,"1","wide","right",0.45,"-1","narrow","R","N","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"main",0.546816897212879,0.247988620209972,0.411212529365559
"0","left",0.6,"2","wide","main",0.6,"1","wide","R","W","to.trunk","RH","shallow",FALSE,FALSE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.658686902582582
"0","left",0.6,"2","wide","left",0.6,"2","wide","U",NA,NA,"RH",NA,TRUE,NA,TRUE,"shallow",0.216314789637616,0.159500659355306,0.159500659355306
"0","left",0.6,"2","wide","right",0.45,"-1","narrow","L","N","away.from.trunk","RH","sharp",FALSE,TRUE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.181812438062112
"0","right",0.45,"-1","narrow","main",0.6,"1","wide","L","=","to.trunk","RH","shallow",FALSE,FALSE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.391336807201602
"0","right",0.45,"-1","narrow","left",0.6,"2","wide","R","=","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.528109917150166
"0","right",0.45,"-1","narrow","right",0.45,"-1","narrow","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.0805532756482322
"1","main",0.6,"3","wide","main",0.6,"3","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"1","main",0.6,"3","wide","left",0.45,"10","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"1","main",0.6,"3","wide","right",0.6,"0","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"1","left",0.45,"10","narrow","main",0.6,"3","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"1","left",0.45,"10","narrow","left",0.45,"10","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
