roi,id,edge0,x0,y0,t0,edge1,x1,y1,t1,number_warning,broken_track
ROI_12,0,Base,72.0,19.0,0.0,Right,2.0,20.0,0.01,0,0
ROI_12,1,Left,41.0,57.0,0.0,Base,77.0,22.0,0.02,0,0
ROI_122,0,Right,39.0,22.0,0.0,Right,26.0,2.0,0.04,0,1
ROI_122,1,Right,25.0,19.0,0.0,Left,4.0,56.0,0.01,0,0
ROI_2,0,Left,4.0,51.0,0.0,Left,14.0,68.0,0.11,0,0
ROI_7,0,Left,37.0,33.0,0.0,Base,79.0,23.0,0.03,0,1
ROI_12,2,Base,69.0,19.0,0.01,Right,4.0,24.0,0.03,0,0
ROI_221,0,Left,4.0,28.0,0.01,Right,51.0,4.0,0.03,0,0
ROI_0,2,Left,24.0,31.0,0.03,Base,68.0,67.0,0.08,0,1
ROI_10,1,Right,4.0,24.0,0.05,Base,59.0,10.0,0.12,0,1
ROI_11,1,Base,3.0,10.0,0.06,Base,4.0,14.0,0.11,0,0
ROI_122,4,Left,5.0,54.0,0.06,Base,76.0,40.0,0.15,0,0
ROI_122,5,Right,0.0,0.0,0.06,Right,12.0,4.0,0.08,0,1
ROI_2,1,Base,51.0,68.0,0.06,Left,29.0,70.0,0.15,0,1
ROI_20,2,Left,0.0,0.0,0.06,Left,4.0,4.0,0.11,0,1
ROI_21,1,Left,0.0,0.0,0.06,Left,0.0,0.0,0.08,0,1
ROI_21,2,Right,58.0,33.0,0.06,Base,64.0,42.0,0.12,0,1
ROI_21,3,Left,0.0,0.0,0.06,Left,0.0,0.0,0.1,0,1
ROI_21,5,Base,60.0,69.0,0.06,Base,64.0,63.0,0.12,0,0
ROI_221,2,Left,3.0,20.0,0.06,Left,5.0,24.0,0.07,0,0
ROI_31,2,Right,0.0,0.0,0.06,Right,2.0,7.0,0.08,0,0
ROI_32,2,Left,34.0,31.0,0.06,Right,66.0,31.0,0.15,0,1
ROI_4,3,Base,32.0,16.0,0.06,Base,48.0,4.0,0.11,0,1
ROI_4,4,Right,0.0,0.0,0.06,Right,0.0,0.0,0.08,0,1
ROI_6,3,Base,48.0,64.0,0.06,Base,66.0,68.0,0.15,0,0
ROI_60,1,Left,34.0,13.0,0.06,Right,60.0,42.0,0.11,0,0
ROI_8,1,Right,12.0,18.0,0.06,Right,4.0,18.0,0.15,0,0
ROI_10,4,Right,0.0,0.0,0.07,Right,0.0,0.0,0.08,0,0
ROI_10,5,Left,42.0,51.0,0.07,Right,3.0,21.0,0.13,0,0
ROI_11,2,Base,3.0,16.0,0.07,Base,22.0,11.0,0.11,0,0
ROI_11,5,Right,4.0,71.0,0.07,Left,39.0,52.0,0.15,0,1
ROI_11,7,Right,6.0,52.0,0.07,Base,2.0,40.0,0.09,0,1
ROI_111,2,Base,0.0,0.0,0.07,Base,11.0,11.0,0.11,0,0
ROI_12,4,Left,27.0,39.0,0.07,Left,30.0,63.0,0.11,0,1
ROI_12,6,Right,0.0,0.0,0.07,Right,6.0,9.0,0.11,0,0
ROI_212,5,Left,0.0,0.0,0.07,Left,6.0,14.0,0.1,0,0
ROI_30,5,Left,4.0,47.0,0.07,Left,5.0,49.0,0.09,0,0
ROI_32,6,Left,0.0,0.0,0.07,Left,6.0,14.0,0.12,0,1
ROI_40,4,Base,0.0,0.0,0.07,Base,0.0,0.0,0.08,0,0
ROI_42,2,Right,0.0,0.0,0.07,Right,0.0,0.0,0.09,0,1
ROI_42,5,Left,44.0,51.0,0.07,Left,54.0,63.0,0.13,0,1
ROI_50,3,Left,6.0,4.0,0.07,Left,6.0,5.0,0.09,0,0
ROI_7,4,Right,0.0,0.0,0.07,Right,29.0,12.0,0.1,0,1
ROI_7,8,Right,0.0,0.0,0.07,Right,4.0,11.0,0.11,0,0
ROI_0,10,Right,0.0,0.0,0.08,Right,0.0,0.0,0.11,0,1
ROI_1,7,Right,0.0,0.0,0.08,Right,18.0,11.0,0.15,0,0
ROI_10,17,Right,0.0,0.0,0.08,Right,0.0,0.0,0.1,0,0
ROI_10,18,Right,0.0,0.0,0.08,Right,0.0,0.0,0.1,0,0
ROI_111,7,Base,0.0,0.0,0.08,Base,0.0,0.0,0.1,0,0
ROI_20,6,Left,0.0,0.0,0.08,Left,0.0,0.0,0.09,0,1
ROI_211,11,Left,11.0,59.0,0.08,Left,12.0,62.0,0.15,0,0
ROI_6,9,Left,8.0,56.0,0.08,Left,21.0,68.0,0.11,0,0
ROI_10,19,Right,0.0,0.0,0.09,Right,10.0,10.0,0.15,0,0
ROI_122,12,Left,26.0,48.0,0.09,Left,10.0,62.0,0.15,0,1
ROI_212,12,Left,0.0,0.0,0.09,Left,6.0,7.0,0.11,0,0
ROI_212,13,Base,4.0,71.0,0.09,Base,6.0,63.0,0.11,0,1
ROI_222,12,Base,35.0,53.0,0.09,Base,28.0,64.0,0.15,0,1
ROI_50,12,Left,0.0,0.0,0.09,Left,6.0,7.0,0.11,0,0
ROI_50,14,Left,0.0,0.0,0.09,Left,0.0,0.0,0.11,0,0
ROI_12,12,Base,51.0,11.0,0.1,Right,3.0,14.0,0.16,0,1
ROI_122,13,Base,40.0,60.0,0.1,Base,50.0,60.0,0.15,0,1
ROI_22,11,Base,28.0,61.0,0.1,Base,25.0,62.0,0.15,0,1
ROI_22,12,Right,67.0,62.0,0.1,Right,74.0,44.0,0.15,0,0
ROI_31,18,Left,32.0,45.0,0.1,Left,29.0,58.0,0.13,0,0
ROI_4,17,Base,65.0,26.0,0.1,Right,2.0,36.0,0.12,0,0
ROI_0,18,Right,0.0,0.0,0.11,Right,0.0,0.0,0.14,0,1
ROI_2,13,Left,7.0,36.0,0.11,Left,4.0,38.0,0.15,0,0
ROI_40,11,Base,0.0,0.0,0.11,Base,9.0,22.0,0.14,0,1
ROI_42,14,Base,43.0,14.0,0.11,Base,54.0,14.0,0.14,0,0
ROI_122,15,Right,0.0,0.0,0.12,Right,0.0,0.0,0.14,0,1
ROI_122,17,Right,25.0,4.0,0.13,Right,23.0,21.0,0.15,0,1
ROI_22,16,Right,61.0,60.0,0.13,Right,63.0,62.0,0.15,0,0
ROI_6,14,Base,64.0,42.0,0.13,Left,3.0,48.0,0.2,0,0
ROI_0,23,Left,29.0,32.0,0.14,Base,74.0,52.0,0.15,0,1
ROI_122,19,Right,28.0,26.0,0.14,Left,2.0,46.0,0.18,0,1
ROI_222,22,Base,7.0,64.0,0.14,Base,6.0,46.0,0.15,0,0
ROI_1,15,Left,41.0,64.0,0.15,Left,22.0,66.0,0.19,0,0
ROI_12,16,Right,5.0,25.0,0.16,Base,76.0,17.0,0.21,0,0
ROI_121,15,Left,39.0,78.0,0.17,Base,44.0,3.0,0.18,0,0
ROI_1,16,Right,5.0,27.0,0.18,Left,37.0,66.0,0.19,0,0
